kitchen,bin,timestamp,date,hour,dayofweek,is_weekend,service,area_m2,capacity_seats,bin_volume_m3,volume,vol_max,vol_min,n_readings,delta_1h,delta_3h,mean_3h,hours_since_disposal,next_volume,increment_next_h,label,split,text_num,text_bucket
Kitchen 1,Paper,2019-02-06 09:00:00,2019-02-06,9,Wednesday,False,Dinner,58.15,50,0.08,85.0,85.0,85.0,1,,,85.0,,47.163636363636364,0.0,LOW,train,"Restaurant kitchen 1 serves dinner, has 58.1 square meters and seats 50 guests. The monitored container holds paper and its nominal volume is 0.08 cubic meters. It is wednesday at 09:00. The container is currently 85.0 percent full. The change over the last hour is not available. The change over the last three hours is not available. The average fill level in the last three hours was 85.0 percent. There is no record of when the container was last emptied.",Restaurant kitchen 1 is a large kitchen that serves dinner. The monitored container holds paper. It is wednesday in the morning. The container is nearly full. The change over the last hour is not available. The change over the last three hours is not available. On average over the last three hours it was nearly full. There is no record of when the container was last emptied.
Kitchen 1,Paper,2019-02-06 10:00:00,2019-02-06,10,Wednesday,False,Dinner,58.15,50,0.08,47.163636363636364,48.0,41.0,55,-37.836363636363636,,66.08181818181818,,62.95161290322581,15.787976539589444,HIGH,train,"Restaurant kitchen 1 serves dinner, has 58.1 square meters and seats 50 guests. The monitored container holds paper and its nominal volume is 0.08 cubic meters. It is wednesday at 10:00. The container is currently 47.2 percent full. Over the last hour the fill level changed by -37.8 points. The change over the last three hours is not available. The average fill level in the last three hours was 66.1 percent. There is no record of when the container was last emptied.",Restaurant kitchen 1 is a large kitchen that serves dinner. The monitored container holds paper. It is wednesday in the morning. The container is about half full. Over the last hour the fill level dropped sharply. The change over the last three hours is not available. On average over the last three hours it was more than half full. There is no record of when the container was last emptied.
Kitchen 1,Paper,2019-02-06 11:00:00,2019-02-06,11,Wednesday,False,Dinner,58.15,50,0.08,62.95161290322581,80.0,43.0,62,15.787976539589444,,65.0384164222874,,69.85,6.8983870967741865,MEDIUM,train,"Restaurant kitchen 1 serves dinner, has 58.1 square meters and seats 50 guests. The monitored container holds paper and its nominal volume is 0.08 cubic meters. It is wednesday at 11:00. The container is currently 63.0 percent full. Over the last hour the fill level changed by 15.8 points. The change over the last three hours is not available. The average fill level in the last three hours was 65.0 percent. There is no record of when the container was last emptied.",Restaurant kitchen 1 is a large kitchen that serves dinner. The monitored container holds paper. It is wednesday in the morning. The container is about half full. Over the last hour the fill level rose sharply. The change over the last three hours is not available. On average over the last three hours it was more than half full. There is no record of when the container was last emptied.
Kitchen 1,Paper,2019-02-06 12:00:00,2019-02-06,12,Wednesday,False,Dinner,58.15,50,0.08,69.85,91.0,48.0,60,6.8983870967741865,-15.150000000000006,59.98841642228739,,86.24590163934427,16.395901639344274,HIGH,train,"Restaurant kitchen 1 serves dinner, has 58.1 square meters and seats 50 guests. The monitored container holds paper and its nominal volume is 0.08 cubic meters. It is wednesday at 12:00. The container is currently 69.8 percent full. Over the last hour the fill level changed by 6.9 points. Over the last three hours it changed by -15.2 points. The average fill level in the last three hours was 60.0 percent. There is no record of when the container was last emptied.",Restaurant kitchen 1 is a large kitchen that serves dinner. The monitored container holds paper. It is wednesday around midday. The container is more than half full. Over the last hour the fill level rose. Over the last three hours it dropped. On average over the last three hours it was about half full. There is no record of when the container was last emptied.
Kitchen 1,Paper,2019-02-06 13:00:00,2019-02-06,13,Wednesday,False,Dinner,58.15,50,0.08,86.24590163934427,90.0,85.0,61,16.395901639344274,39.082265275707904,73.01583818085669,,63.18032786885246,0.0,LOW,train,"Restaurant kitchen 1 serves dinner, has 58.1 square meters and seats 50 guests. The monitored container holds paper and its nominal volume is 0.08 cubic meters. It is wednesday at 13:00. The container is currently 86.2 percent full. Over the last hour the fill level changed by 16.4 points. Over the last three hours it changed by 39.1 points. The average fill level in the last three hours was 73.0 percent. There is no record of when the container was last emptied.",Restaurant kitchen 1 is a large kitchen that serves dinner. The monitored container holds paper. It is wednesday around midday. The container is nearly full. Over the last hour the fill level rose sharply. Over the last three hours it rose sharply. On average over the last three hours it was more than half full. There is no record of when the container was last emptied.
Kitchen 1,Paper,2019-02-06 14:00:00,2019-02-06,14,Wednesday,False,Dinner,58.15,50,0.08,63.18032786885246,85.0,0.0,61,-23.06557377049181,0.22871496562665072,73.09207650273224,,54.483333333333334,0.0,LOW,train,"Restaurant kitchen 1 serves dinner, has 58.1 square meters and seats 50 guests. The monitored container holds paper and its nominal volume is 0.08 cubic meters. It is wednesday at 14:00. The container is currently 63.2 percent full. Over the last hour the fill level changed by -23.1 points. Over the last three hours it changed by 0.2 points. The average fill level in the last three hours was 73.1 percent. There is no record of when the container was last emptied.",Restaurant kitchen 1 is a large kitchen that serves dinner. The monitored container holds paper. It is wednesday around midday. The container is about half full. Over the last hour the fill level dropped sharply. Over the last three hours it stayed flat. On average over the last three hours it was more than half full. There is no record of when the container was last emptied.
Kitchen 1,Paper,2019-02-06 15:00:00,2019-02-06,15,Wednesday,False,Dinner,58.15,50,0.08,54.483333333333334,91.0,3.0,60,-8.696994535519124,-15.36666666666666,67.96985428051002,,50.14754098360656,0.0,LOW,train,"Restaurant kitchen 1 serves dinner, has 58.1 square meters and seats 50 guests. The monitored container holds paper and its nominal volume is 0.08 cubic meters. It is wednesday at 15:00. The container is currently 54.5 percent full. Over the last hour the fill level changed by -8.7 points. Over the last three hours it changed by -15.4 points. The average fill level in the last three hours was 68.0 percent. There is no record of when the container was last emptied.",Restaurant kitchen 1 is a large kitchen that serves dinner. The monitored container holds paper. It is wednesday in the afternoon. The container is about half full. Over the last hour the fill level dropped. Over the last three hours it dropped. On average over the last three hours it was more than half full. There is no record of when the container was last emptied.
Kitchen 1,Paper,2019-02-06 16:00:00,2019-02-06,16,Wednesday,False,Dinner,58.15,50,0.08,50.14754098360656,64.0,44.0,61,-4.335792349726773,-36.09836065573771,55.937067395264116,0.0,44.435483870967744,0.0,LOW,train,"Restaurant kitchen 1 serves dinner, has 58.1 square meters and seats 50 guests. The monitored container holds paper and its nominal volume is 0.08 cubic meters. It is wednesday at 16:00. The container is currently 50.1 percent full. Over the last hour the fill level changed by -4.3 points. Over the last three hours it changed by -36.1 points. The average fill level in the last three hours was 55.9 percent. The container was last emptied 0 hours ago.",Restaurant kitchen 1 is a large kitchen that serves dinner. The monitored container holds paper. It is wednesday in the afternoon. The container is about half full. Over the last hour the fill level dropped. Over the last three hours it dropped sharply. On average over the last three hours it was about half full. The container was emptied less than three hours ago.
Kitchen 1,Paper,2019-02-06 17:00:00,2019-02-06,17,Wednesday,False,Dinner,58.15,50,0.08,44.435483870967744,56.0,37.0,62,-5.712057112638817,-18.744843997884715,49.68878606263588,1.0,38.38333333333333,0.0,LOW,train,"Restaurant kitchen 1 serves dinner, has 58.1 square meters and seats 50 guests. The monitored container holds paper and its nominal volume is 0.08 cubic meters. It is wednesday at 17:00. The container is currently 44.4 percent full. Over the last hour the fill level changed by -5.7 points. Over the last three hours it changed by -18.7 points. The average fill level in the last three hours was 49.7 percent. The container was last emptied 1 hours ago.",Restaurant kitchen 1 is a large kitchen that serves dinner. The monitored container holds paper. It is wednesday in the afternoon. The container is about a quarter full. Over the last hour the fill level dropped. Over the last three hours it dropped sharply. On average over the last three hours it was about half full. The container was emptied less than three hours ago.
Kitchen 1,Paper,2019-02-06 18:00:00,2019-02-06,18,Wednesday,False,Dinner,58.15,50,0.08,38.38333333333333,55.0,0.0,60,-6.052150537634411,-16.1,44.32211939596922,2.0,29.733333333333334,0.0,LOW,train,"Restaurant kitchen 1 serves dinner, has 58.1 square meters and seats 50 guests. The monitored container holds paper and its nominal volume is 0.08 cubic meters. It is wednesday at 18:00. The container is currently 38.4 percent full. Over the last hour the fill level changed by -6.1 points. Over the last three hours it changed by -16.1 points. The average fill level in the last three hours was 44.3 percent. The container was last emptied 2 hours ago.",Restaurant kitchen 1 is a large kitchen that serves dinner. The monitored container holds paper. It is wednesday in the afternoon. The container is about a quarter full. Over the last hour the fill level dropped. Over the last three hours it dropped. On average over the last three hours it was about a quarter full. The container was emptied less than three hours ago.
Kitchen 1,Paper,2019-02-06 19:00:00,2019-02-06,19,Wednesday,False,Dinner,58.15,50,0.08,29.733333333333334,54.0,0.0,60,-8.649999999999999,-20.414207650273227,37.517383512544804,3.0,12.065573770491802,0.0,LOW,train,"Restaurant kitchen 1 serves dinner, has 58.1 square meters and seats 50 guests. The monitored container holds paper and its nominal volume is 0.08 cubic meters. It is wednesday at 19:00. The container is currently 29.7 percent full. Over the last hour the fill level changed by -8.6 points. Over the last three hours it changed by -20.4 points. The average fill level in the last three hours was 37.5 percent. The container was last emptied 3 hours ago.",Restaurant kitchen 1 is a large kitchen that serves dinner. The monitored container holds paper. It is wednesday in the evening. The container is about a quarter full. Over the last hour the fill level dropped. Over the last three hours it dropped sharply. On average over the last three hours it was about a quarter full. The container was emptied earlier today.
Kitchen 1,Paper,2019-02-06 20:00:00,2019-02-06,20,Wednesday,False,Dinner,58.15,50,0.08,12.065573770491802,32.0,0.0,61,-17.667759562841532,-32.36991010047594,26.727413479052824,4.0,33.86666666666667,21.801092896174865,HIGH,train,"Restaurant kitchen 1 serves dinner, has 58.1 square meters and seats 50 guests. The monitored container holds paper and its nominal volume is 0.08 cubic meters. It is wednesday at 20:00. The container is currently 12.1 percent full. Over the last hour the fill level changed by -17.7 points. Over the last three hours it changed by -32.4 points. The average fill level in the last three hours was 26.7 percent. The container was last emptied 4 hours ago.",Restaurant kitchen 1 is a large kitchen that serves dinner. The monitored container holds paper. It is wednesday in the evening. The container is almost empty. Over the last hour the fill level dropped sharply. Over the last three hours it dropped sharply. On average over the last three hours it was about a quarter full. The container was emptied earlier today.
Kitchen 1,Paper,2019-02-06 21:00:00,2019-02-06,21,Wednesday,False,Dinner,58.15,50,0.08,33.86666666666667,55.0,0.0,60,21.801092896174865,-4.516666666666666,25.221857923497268,0.8333333333333334,25.540983606557376,0.0,LOW,train,"Restaurant kitchen 1 serves dinner, has 58.1 square meters and seats 50 guests. The monitored container holds paper and its nominal volume is 0.08 cubic meters. It is wednesday at 21:00. The container is currently 33.9 percent full. Over the last hour the fill level changed by 21.8 points. Over the last three hours it changed by -4.5 points. The average fill level in the last three hours was 25.2 percent. The container was last emptied 1 hours ago.",Restaurant kitchen 1 is a large kitchen that serves dinner. The monitored container holds paper. It is wednesday in the evening. The container is about a quarter full. Over the last hour the fill level rose sharply. Over the last three hours it dropped slightly. On average over the last three hours it was about a quarter full. The container was emptied less than three hours ago.
Kitchen 1,Paper,2019-02-06 22:00:00,2019-02-06,22,Wednesday,False,Dinner,58.15,50,0.08,25.540983606557376,30.0,22.0,61,-8.325683060109291,-4.192349726775959,23.824408014571947,1.8333333333333333,25.65,0.10901639344262293,LOW,train,"Restaurant kitchen 1 serves dinner, has 58.1 square meters and seats 50 guests. The monitored container holds paper and its nominal volume is 0.08 cubic meters. It is wednesday at 22:00. The container is currently 25.5 percent full. Over the last hour the fill level changed by -8.3 points. Over the last three hours it changed by -4.2 points. The average fill level in the last three hours was 23.8 percent. The container was last emptied 2 hours ago.",Restaurant kitchen 1 is a large kitchen that serves dinner. The monitored container holds paper. It is wednesday in the evening. The container is about a quarter full. Over the last hour the fill level dropped. Over the last three hours it dropped slightly. On average over the last three hours it was almost empty. The container was emptied less than three hours ago.
